9.76279, -7.51455, -0.224252, 1.78076, -6.0426, -3.70073, -2.85768, 2.5274, 5.19175, 9.5459, -1.82866, -9.57091, -4.45674, -7.20763, 6.59388, -0.657823, 7.07004, 2.69136, 8.1476, 6.6769, -9.38445, -1.12067, 9.78014, -1.5377, 9.40245, 0.999135, -8.14037, 6.76639, -2.71073, -8.92782, -6.75554, -6.6381, -7.48189, -0.434876, -1.73488, 6.68151, -9.33938, -2.29453, -1.12336, -1.92993, 1.49475, 5.32787, -2.02514, -7.11823, 3.16982, 9.6672, -1.28494, 1.63963, 0.598909, 3.25266, -8.63364, -0.0944207, 1.07992, -7.02164, 6.75268, 5.38182, 1.76169, 2.97085, 8.95411, -9.62512, 3.94235, -5.47594, 5.79493, 2.91474, 2.3609, 1.03317, 5.31539, -6.40788, 7.98114, -4.18875, -4.13653, -8.16457, -1.92375, -8.28124, 5.35045, -4.05495, -5.69448, 8.35586, -2.67007, -0.785461, -4.42499, -8.57621, 1.9111, -2.80503, -9.34404, -3.54339, 3.38448, -7.24768, 2.08102, 8.82576, 7.60298, -9.42283, -6.12174, -9.97631, -5.43625, -1.08978, 3.89622, -3.52086, 9.07561, -9.99089, 7.07226, -5.3709, -9.2214, 0.350686, 2.29544, -6.51385, -3.81598, 1.58795, -2.09044, 4.65827, -0.823896, -8.11653, 6.2323, -0.0919867, -9.05153, -0.875869, -1.04705, -7.55342, -3.76799, 9.55813, 2.32716, -8.15754, -3.21492, -1.53365, 4.7899, -8.2307, 3.13286, 8.68954, 4.05813, -2.15192, 2.5592, -3.63903, -4.29167, -0.730961, 5.63405, 2.97782, -8.93949, 
	x	y	theta : ul	ur

Starting Conditions: -1.80681, 0, 0, 0, 1.16871, 0, 
7.4: -3.587631	 1.126733	 2.416824 : -0.100	 0.100 	Dst/Theta/Speed: 	3.760402	2.416824	0.547605 	F: 0.00 (0)
7.5: -3.610877	 1.176475	 2.300863 : -0.100	 0.100 	Dst/Theta/Speed: 	3.797700	2.300863	0.550504 	F: 0.00 (0)
7.6: -3.634016	 1.226585	 2.182239 : -0.100	 0.100 	Dst/Theta/Speed: 	3.835438	2.182239	0.553393 	F: 0.00 (0)
7.7: -3.657047	 1.277063	 2.060952 : -0.100	 0.100 	Dst/Theta/Speed: 	3.873613	2.060952	0.556271 	F: 0.00 (0)
7.8: -3.679967	 1.327905	 1.937003 : -0.100	 0.100 	Dst/Theta/Speed: 	3.912224	1.937003	0.559137 	F: 0.00 (0)
7.9: -3.702777	 1.379111	 1.810390 : -0.100	 0.100 	Dst/Theta/Speed: 	3.951267	1.810390	0.561991 	F: 0.00 (0)
8.0: -3.725475	 1.430678	 1.681116 : -0.100	 0.100 	Dst/Theta/Speed: 	3.990740	1.681116	0.564826 	F: 0.00 (0)
8.1: -3.748060	 1.482599	 1.549185 : -0.100	 0.099 	Dst/Theta/Speed: 	4.030639	1.549185	0.567582 	F: 0.00 (0)
8.2: -3.770534	 1.534823	 1.414664 : -0.100	 0.090 	Dst/Theta/Speed: 	4.070947	1.414664	0.569513 	F: 0.00 (0)
8.3: -3.792942	 1.587152	 1.277821 : -0.100	 0.059 	Dst/Theta/Speed: 	4.111625	1.277821	0.569056 	F: 0.00 (0)
8.4: -3.815390	 1.639366	 1.138974 : -0.100	 0.042 	Dst/Theta/Speed: 	4.152676	1.138974	0.567744 	F: 0.00 (0)
8.5: -3.837997	 1.691377	 0.998290 : -0.100	 0.034 	Dst/Theta/Speed: 	4.194160	0.998290	0.566628 	F: 0.00 (0)
8.6: -3.860891	 1.743167	 0.855870 : -0.100	 0.027 	Dst/Theta/Speed: 	4.236167	0.855870	0.566028 	F: 0.00 (0)
8.7: -3.884210	 1.794741	 0.711823 : -0.100	 0.018 	Dst/Theta/Speed: 	4.278806	0.711823	0.566198 	F: 0.00 (0)
8.8: -3.908112	 1.846125	 0.566272 : -0.100	 0.008 	Dst/Theta/Speed: 	4.322212	0.566272	0.567490 	F: 0.00 (0)
8.9: -3.932760	 1.897381	 0.419344 : -0.100	 -0.001 	Dst/Theta/Speed: 	4.366538	0.419344	0.570300 	F: 0.00 (0)
9.0: -3.958298	 1.948615	 0.271144 : -0.100	 -0.008 	Dst/Theta/Speed: 	4.411941	0.271144	0.574941 	F: 0.00 (0)
9.1: -3.984839	 1.999971	 0.121751 : -0.100	 -0.013 	Dst/Theta/Speed: 	4.458567	0.121751	0.581560 	F: 0.00 (0)
9.2: -4.012452	 2.051623	 -0.028785 : -0.100	 -0.016 	Dst/Theta/Speed: 	4.506543	-0.028785	0.590146 	F: 0.00 (0)
9.3: -4.041168	 2.103759	 -0.180436 : -0.100	 -0.017 	Dst/Theta/Speed: 	4.555967	-0.180436	0.600565 	F: 0.00 (0)
9.4: -4.070974	 2.156574	 -0.333186 : -0.100	 -0.018 	Dst/Theta/Speed: 	4.606913	-0.333186	0.612594 	F: 0.00 (0)
9.5: -4.101821	 2.210259	 -0.487033 : -0.100	 -0.018 	Dst/Theta/Speed: 	4.659418	-0.487033	0.625923 	F: 0.00 (0)
9.6: -4.133614	 2.264988	 -0.641995 : -0.100	 -0.015 	Dst/Theta/Speed: 	4.713485	-0.641995	0.640102 	F: 0.00 (0)
9.7: -4.166210	 2.320899	 -0.798134 : -0.100	 -0.008 	Dst/Theta/Speed: 	4.769054	-0.798134	0.654369 	F: 0.00 (0)
9.8: -4.199397	 2.378043	 -0.955616 : -0.100	 0.010 	Dst/Theta/Speed: 	4.825974	-0.955616	0.667303 	F: 0.00 (0)
9.9: -4.232900	 2.436320	 -1.114777 : -0.100	 0.042 	Dst/Theta/Speed: 	4.883963	-1.114777	0.677116 	F: 0.00 (0)
10.0: -4.266471	 2.495515	 -1.276031 : -0.100	 0.072 	Dst/Theta/Speed: 	4.942709	-1.276031	0.683918 	F: 0.00 (0)
10.1: -4.299974	 2.555449	 -1.439668 : -0.100	 0.085 	Dst/Theta/Speed: 	5.002009	-1.439668	0.689321 	F: 0.00 (0)
10.2: -4.333355	 2.616040	 -1.605808 : -0.100	 0.090 	Dst/Theta/Speed: 	5.061781	-1.605808	0.694214 	F: 0.00 (0)
10.3: -4.366591	 2.677255	 -1.774492 : -0.100	 0.092 	Dst/Theta/Speed: 	5.121993	-1.774492	0.698889 	F: 0.00 (0)
10.4: -4.399664	 2.739082	 -1.945732 : -0.100	 0.092 	Dst/Theta/Speed: 	5.182626	-1.945732	0.703436 	F: 0.00 (0)
10.5: -4.432557	 2.801514	 -2.119527 : -0.100	 0.091 	Dst/Theta/Speed: 	5.243667	-2.119527	0.707894 	F: 0.00 (0)
10.6: -4.465245	 2.864556	 -2.295855 : -0.100	 0.089 	Dst/Theta/Speed: 	5.305101	-2.295855	0.712323 	F: 0.00 (0)
10.7: -4.497650	 2.928255	 -2.474602 : -0.100	 0.074 	Dst/Theta/Speed: 	5.366892	-2.474602	0.716953 	F: 0.00 (0)
10.8: -4.529286	 2.992906	 -2.655016 : -0.100	 -0.024 	Dst/Theta/Speed: 	5.428805	-2.655016	0.722269 	F: 0.00 (0)
10.9: -4.559322	 3.058782	 -2.835955 : -0.100	 -0.097 	Dst/Theta/Speed: 	5.490316	-2.835955	0.725265 	F: 0.00 (0)
11.0: -4.587285	 3.125716	 -3.016917 : -0.100	 -0.100 	Dst/Theta/Speed: 	5.550971	-3.016917	0.725066 	F: 0.00 (0)
11.1: -4.613073	 3.193327	 -3.197882 : -0.100	 -0.100 	Dst/Theta/Speed: 	5.610507	-3.197882	0.721738 	F: 0.00 (0)
11.2: -4.636673	 3.261222	 2.904338 : -0.100	 -0.100 	Dst/Theta/Speed: 	5.668713	2.904338	0.715407 	F: 0.00 (0)
11.3: -4.658816	 3.329220	 2.722424 : -0.100	 0.042 	Dst/Theta/Speed: 	5.726105	2.722424	0.714709 	F: 0.00 (0)
11.4: -4.680184	 3.397303	 2.538696 : -0.100	 0.030 	Dst/Theta/Speed: 	5.783234	2.538696	0.712298 	F: 0.00 (0)
11.5: -4.700734	 3.465285	 2.353324 : -0.100	 0.017 	Dst/Theta/Speed: 	5.839957	2.353324	0.707958 	F: 0.00 (0)
11.6: -4.720469	 3.532946	 2.166492 : -0.100	 0.002 	Dst/Theta/Speed: 	5.896146	2.166492	0.701529 	F: 0.00 (0)
11.7: -4.739458	 3.600063	 1.978367 : -0.100	 -0.009 	Dst/Theta/Speed: 	5.951715	1.978367	0.693434 	F: 0.00 (0)
11.8: -4.757849	 3.666458	 1.789064 : -0.100	 -0.015 	Dst/Theta/Speed: 	6.006666	1.789064	0.684434 	F: 0.00 (0)
